airport_code,airport_name,airport_name_zh
FRY,White Mountain Regional Airport,none
FRZ,Fritzlar Airport,none
FSC,Figari Sud-Corse Airport,菲加里机场
FSD,Joe Foss Field,蘇瀑區域機場
FSI,Henry Post Army Air Field (Fort Sill) Airport,none
FSK,Fort Scott Municipal Airport,none
FSM,Fort Smith Regional Airport,none
FSP,St Pierre Airport,none
FSS,RAF Kinloss,none
FST,Fort Stockton-Pecos County Airport,none
FSU,Fort Sumner Municipal Airport,none
FSZ,Mt. Fuji Shizuoka Airport,靜岡機場
FTA,Futuna Airport,福杜納機場
FTE,El Calafate Airport,none
FTI,Fitiuta Airport,菲圖塔機場
FTK,Godman Army Air Field,none
FTU,Tolanaro Airport,none
FTW,Fort Worth Meacham International Airport,none
FTX,Owando Airport,none
FTY,Fulton County Executive/Charlie Brown Field,none
FUE,Fuerteventura Airport,富埃特文图拉机场
FUG,Fuyang Xiguan Airport,阜阳机场
FUJ,Fukue Airport,福江機場
FUK,Fukuoka Airport,福岡機場
FUL,Fullerton Municipal Airport,none
FUN,Funafuti International Airport,富納富提國際機場
FUO,Foshan Shadi Airport,佛山沙堤機場
FUT,Pointe Vele Airport,富圖納機場
FVL,Flora Valley Airport,none
FVM,Fuvahmulah Airport,none
FWA,Fort Wayne International Airport,none
FWH,Fort Worth Nas Jrb (Carswell Field) Airport,none
FWL,Farewell Airport,none
FXE,Fort Lauderdale Executive Airport,none
FXO,Cuamba Airport,none
FXY,Forest City Municipal/Trimble Field,none
FYM,Fayetteville Municipal Airport,none
FYT,Faya Largeau Airport,none
FYU,Fort Yukon Airport,none
FYV,Drake Field,none
GAB,Gabbs Airport,none
GAC,Gracias Airport,none
GAD,Northeast Alabama Regional Airport,none
GAE,Gabes Matmata International Airport,none
GAF,Gafsa Ksar International Airport,none
GAG,Gage Airport,none
GAH,Gayndah Airport,none
GAI,Montgomery County Airpark,none
GAJ,Yamagata Airport,山形機場
GAL,Edward G Pitka Sr Airport,none
GAM,Gambell Airport,none
GAN,Gan International Airport,甘島國際機場
GAO,Mariana Grajales Airport,none
GAP,Gusap Airport,none
GAQ,Gao Airport,none
GAR,Garaina Airport,none
GAS,Garissa Airport,none
GAT,Gap - Tallard Airport,none
GAU,Lokpriya Gopinath Bordoloi International Airport,none
GAW,Gangaw Airport,none
GAY,Gaya Airport,格雅机场
GBA,Kemble Airport,none
GBB,Gabala International Airport,none
GBD,Great Bend Municipal Airport,none
GBE,Sir Seretse Khama International Airport,塞雷茨·卡马爵士国际机场
GBF,Negarbo(Negabo) Airport,none
GBG,Harrel W Timmons Galesburg Regional Airport,none
GBH,Galbraith Lake Airport,none
GBI,Kalaburagi,none
GBJ,Les Bases Airport,none
GBK,Gbangbatok Airport,none
GBL,South Goulburn Is Airport,none
GBP,Gamboola Airport,none
GBR,Great Barrington Airport,none
GBT,Gorgan Airport,none
GBU,Khashm El Girba Airport,none
GBV,Gibb River Airport,none
GBW,Ginbata,none
GBZ,Great Barrier Aerodrome,none
GCC,Northeast Wyoming Regional Airport,none
GCD,Grand Coulee Dam Airport,none
GCH,Gachsaran Airport,none
GCI,Guernsey Airport,none
GCJ,Grand Central Airport,大中央機場 (約翰內斯堡)
GCK,Garden City Regional Airport,none
GCM,Owen Roberts International Airport,歐文·羅伯茨國際機場
GCN,Grand Canyon Ntl Park Airport,none
GCT,Grand Canyon Bar Ten Airstrip,none
GCW,Grand Canyon West Airport,none
GCY,Greeneville Municipal Airport,none
GDC,Donaldson Field,none
GDD,Gordon Downs Airport,none
GDE,Gode Airport,none
GDG,Magdagachi Airport,none
GDI,Gordil Airport,none
GDJ,Gandajika Airport,none
GDL,Don Miguel Hidalgo Y Costilla International Airport,瓜達拉哈拉國際機場
GDM,Gardner Municipal Airport,none
GDN,Gdańsk Lech Wałęsa Airport,格但斯克萊赫·華勒沙機場
GDO,Guasdalito Airport,none
GDP,Guadalupe Airport,none
GDQ,Gonder Airport,none
GDT,JAGS McCartney International Airport,none
GDV,Dawson Community Airport,none
GDW,Gladwin Zettel Memorial Airport,none
GDX,Sokol Airport,none
GDZ,Gelendzhik Airport,none
GEA,Noumea Magenta Airport,none
GEB,Gebe Airport,none
GED,Delaware Coastal Airport,none
GEE,Georgetown (Tas) Airport,none
GEF,Geva Airport,none
GEG,Spokane International Airport,斯波坎国际机场
GEL,Santo Angelo Airport,none
GEO,Cheddi Jagan International Airport,切迪·賈根國際機場
GER,Rafael Cabrera Airport,none
GES,General Santos International Airport,桑托斯將軍城國際機場
GET,Geraldton Airport,none
GEV,Gallivare Airport,none
GEY,South Big Horn County Airport,none
GFD,Pope Field,none
GFF,Griffith Airport,none
GFK,Grand Forks International Airport,大福克斯国际机场
GFL,Floyd Bennett Memorial Airport,none
GFN,Grafton Airport,none
GFO,Bartica A Airport,none
GFR,Granville Airport,none
GFY,Grootfontein Airport,none
GGB,Fazenda Olhos D`agua Airport,none
GGD,Gregory Downs Airport,none
GGE,Georgetown County Airport,none
GGF,Almeirim Airport,none
GGG,East Texas Regional Airport,none
GGH,Cianorte Airport,none
GGM,Kakamega Airport,none
GGN,Gagnoa Airport,none
GGO,Guiglo Airport,none
GGR,Garowe Airport,none
GGS,Gobernador Gregores Airport,none
GGT,Exuma International Airport,none
GGW,Wokal Field/Glasgow-Valley County Airport,none
GHA,Noumerat - Moufdi Zakaria Airport,none
GHB,Governor's Harbour Airport,none
GHC,Great Harbour Cay Airport,none
GHF,Giebelstadt Army Air Field,none
GHM,Centerville Municipal Airport,none
GHT,Ghat Airport,none
GHU,Gualeguaychu Airport,none
GHV,Braşov-Ghimbav International Airport,none
GIB,Gibraltar Airport,none
GIC,Boigu Airport,none
GID,Gitega Airport,none
GIF,Winter Haven Regional Airport,none
GIG,Galeao - Antonio Carlos Jobim International Airport,里约热内卢-加利昂国际机场
GII,Siguiri Airport,none
GIL,Gilgit Airport,none
GIR,Santiago Vila Airport,none
GIS,Gisborne Airport,none
GIU,Sigiriya Airport,none
GIY,Giyani Airport,none
GIZ,Jizan Regional Airport,none
GJA,La Laguna Airport,none
GJL,Jijel Ferhat Abbas Airport,none
GJM,Guajara-Mirim Airport,none
GJR,Gjögur Airport,none
GJT,Grand Junction Regional Airport,none
GKA,Goroka Airport,戈羅卡機場
GKD,Imroz Airport,none
GKE,Geilenkirchen Airport,none
GKK,Kooddoo Airport,none
GKL,Great Keppel Is Airport,none
GKN,Gulkana Airport,none
GKT,Gatlinburg-Pigeon Forge Airport,none
GLA,Glasgow International Airport,格拉斯哥机场
GLB,San Carlos Apache Airport,none
GLD,Renner Field/Goodland Municipal Airport,none
GLE,Gainesville Municipal Airport,none
GLF,Golfito Airport,none
GLG,Glengyle Airport,none
GLH,Greenville Mid-Delta Airport,none
GLI,Glen Innes Airport,none
GLJ,Garzon La Jagua Airport,none
GLK,Galcaio Airport,none
GLL,Gol Airport,none
GLM,Glenormiston Airport,none
GLO,Gloucestershire Airport,none
GLR,Gaylord Regional Airport,none
GLS,Scholes International At Galveston Airport,none
GLT,Gladstone Airport,none
GLU,Gelephu Airport,none
GLV,Golovin Airport,none
GLW,Glasgow Municipal Airport,none
GLX,Gamarmalamo Airport,加马马拉莫机场
GLZ,Gilze Rijen Air Base,none
GMA,Gemena Airport,none
GMB,Gambella Airport,none
GMD,Ben Slimane Airport,none
GME,Gomel Airport,戈梅利機場
GMI,Gasmata Island Airport,none
GMM,Gamboma Airport,none
GMN,Greymouth Airport,格雷默斯機場
GMO,Gombe Lawanti International Airport,none
GMP,Gimpo International Airport,金浦國際機場
GMR,Totegegie Airport,none
GMS,Fazenda Canada Airport,none
GMT,Granite Mountain Air Station,none
GMU,Greenville Downtown Airport,none
GMV,Monument Valley Airport,none
GMZ,La Gomera Airport,戈梅拉机场
GNA,Hrodna Airport,格羅德諾機場
GNB,Grenoble-Isere Airport,格勒诺布尔机场
GND,Point Salines International Airport,none
GNF,Gansner Field,none
GNG,Gooding Municipal Airport,none
GNI,Lyudao Airport,綠島機場
GNJ,Ganja Airport,占賈國際機場
GNM,Guanambi Airport,none
GNR,Dr. Arturo H. Illia Airport,none
GNS,Binaka Airport,none
GNT,Grants-Milan Municipal Airport,none
GNU,Goodnews Airport,none
GNV,Gainesville Regional Airport,none
GNY,Sanliurfa GAP Airport,none
GNZ,Ghanzi Airport,none
GOA,Genova / Sestri Cristoforo Colombo Airport,热那亚机场
GOB,Robe Airport,none
GOG,Gobabis Airport,none
GOH,Nuuk Airport,努克机场
GOI,Dabolim Airport,none
GOJ,Nizhny Novgorod International Airport,下诺夫哥罗德国际机场
GOK,Guthrie/Edmond Regional Airport,none
GOL,Gold Beach Municipal Airport,none
GOM,Goma International Airport,戈馬國際機場
GON,Groton-New London Airport,none
GOO,Goondiwindi Airport,none
GOP,Gorakhpur Airport,none
GOQ,Golmud Airport,格尔木机场
GOR,Gore Airport,none
GOT,Gothenburg-Landvetter Airport,none
GOU,Garoua International Airport,加鲁阿国际机场
GOV,Gove Airport,none
GOX,Manohar International Airport,none
GOY,Amparai Airport,none
GOZ,Gorna Oryahovitsa Airport,none
GPA,Araxos Airport,none
GPB,Tancredo Thomas de Faria Airport,none
GPI,Juan Casiano Airport,none
GPL,Guapiles Airport,none
GPN,Garden Point Airport,none
GPO,General Pico Airport,none
GPS,Seymour Airport,none
GPT,Gulfport-Biloxi International Airport,none
GPZ,Grand Rapids/Itasca County-Gordon Newstrom Field,none
GQQ,Galion Municipal Airport,none
GRB,Green Bay/Austin Straubel International Airport,none
GRD,Greenwood County Airport,none
GRE,Greenville Airport,none
GRF,Gray Army Air Field (Joint Base Lewis-Mcchord) Airport,none
GRI,Central Nebraska Regional Airport,none
GRJ,George Airport,喬治機場
GRK,Robert Gray Army Air Field,none
GRL,Garasa Airport,none
GRM,Grand Marais/Cook County Airport,none
GRN,Gordon Municipal Airport,none
GRO,Girona Airport,赫羅納-布拉瓦海岸機場
GRP,Gurupi Airport,none
GRQ,Eelde Airport,格罗宁根-埃尔德机场
GRR,Gerald R Ford International Airport,杰拉德·福特国际机场
GRS,Grosseto Airport,none
GRU,Guarulhos - Governador Andre Franco Montoro International Airport,聖保羅/瓜魯柳斯國際機場
GRV,Grozny North Airport,卡德罗夫格罗兹尼国际机场
GRW,Graciosa Airport,none
GRX,Federico Garcia Lorca Airport,格拉纳达机场
GRY,Grímsey Airport,none
GRZ,Graz Airport,格拉茨機場
GSA,Long Pasia Airport,none
GSB,Seymour Johnson Afb Airport,none
GSC,Gascoyne Junction Airport,none
GSE,Gothenburg City Airport,哥德堡市鎮機場
GSH,Goshen Municipal Airport,none
GSI,Grand-Santi Airport,none
GSJ,San Jose Airport,none
GSM,Dayrestan Airport,none
GSN,Mount Gunson Airport,none
GSO,Piedmont Triad International Airport,皮埃蒙特三角國際機場
GSP,Greenville Spartanburg International Airport,none
GSQ,Shark El Oweinat International Airport,none
GSR,Gardo Airport,none
GSS,Sabi Sabi Airport,none
GST,Gustavus Airport,none
GSU,Azaza Airport,none
GSV,Gagarin Airport,none
GTA,Gatokae Airport,恩加托卡埃機場
GTE,Groote Eylandt Airport,none
GTF,Great Falls International Airport,none
GTG,Grantsburg Municipal Airport,none
GTI,Rugen Airport,none
GTN,Glentanner Airport,none
GTO,Jalaluddin Airport,加拉鲁丁机场
GTP,Grants Pass Airport,none
GTR,Golden Triangle Regional Airport,none
GTS,The Granites Airport,none
GTT,Georgetown Airport,none
GTY,Gettysburg Regional Airport,none
GUA,La Aurora Airport,拉奥罗拉国际机场
GUB,Guerrero Negro Airport,none
GUC,Gunnison-Crested Butte Regional Airport,none
GUD,Goundam Airport,none
GUF,Gulf Shores International/Jack Edwards Field,none
GUH,Gunnedah Airport,none
GUI,Guiria Airport,none
GUJ,Guaratingueta Airport,none
GUL,Goulburn Airport,none
GUM,Guam International Airport,安東尼奧·汪帕特國際機場
GUP,Gallup Municipal Airport,none
GUQ,Guanare Airport,none
GUR,Gurney Airport,格尼機場
GUS,Grissom Arb Airport,none
GUT,Gutersloh Airport,none
GUU,Grundarfjörður Airport,none
GUV,Mougulu Airport,none
GUW,Atyrau International Airport,阿特勞機場
GUX,Guna Airport,none
GUY,Guymon Municipal Airport,none
GUZ,Guarapari Airport,none
GVA,Geneva Cointrin International Airport,日内瓦机场
GVE,Gordonsville Municipal Airport,none
GVI,Green River Airport,none
GVL,Lee Gilmer Memorial Airport,none
GVN,Maygatka Airport.,none
GVP,Greenvale Airport,none
GVR,Governador Valadares Airport,none
GVT,Majors Airport,none
GVX,Gavle Sandviken Airport,none
GWA,Gwa Airport,none
GWD,Gwadar International Airport,none
GWE,Thornhill Air Base,none
GWL,Gwalior Airport,none
GWO,Greenwood-Leflore Airport,none
GWS,Kgws Sumers Airpark,none
GWT,Westerland Sylt Airport,none
GWV,Fokker Field,none
GXF,Sayun International Airport,none
GXG,Negage Airport,none
GXH,Gannan Xiahe Airport,甘南夏河机场
GXM,Kuala Kurun,none
GXQ,Teniente Vidal Airport,none
GXX,Yagoua Airport,none
GXY,Greeley-Weld County Airport,none
GYA,Capitan de Av. Emilio Beltran Airport,none
GYD,Heydar Aliyev International Airport,盖达尔·阿利耶夫国际机场
GYE,Simon Bolivar International Airport,何塞·華金·德·奧爾梅多國際機場
GYG,Magan Airport,none
GYI,Gisenyi Airport,none
GYL,Argyle Airport,none
GYM,General Jose Maria Yanez International Airport,none
GYN,Santa Genoveva Airport,none
GYP,Gympie Airport,none
GYR,Phoenix Goodyear Airport,none
GYS,Guangyuan Airport,广元盘龙机场
GYU,Guyuan Liupanshan Airport,固原六盘山机场
GYY,Gary/Chicago International Airport,none
GYZ,Gruyere Airport,none
GZG,Garze Gesar Airport,甘孜格萨尔机场
GZO,Nusatupe Airport,none
GZP,Gazipasa Airport,none
GZT,Gaziantep International Airport,none
GZW,Qazvin Airport,none
HAA,Hasvik Airport,none
HAB,Marion County-Rankin Fite Airport,none
HAC,Hachijojima Airport,八丈島機場
HAD,Halmstad Airport,none
HAF,Half Moon Bay Airport,none
HAH,Prince Said Ibrahim International Airport,赛义德·易卜拉欣王子国际机场
HAI,Three Rivers Municipal/Dr Haines Airport,none
HAJ,Hannover Airport,汉诺威-朗根哈根机场
HAK,Haikou Meilan International Airport,海口美兰国际机场
HAM,Hamburg Airport,汉堡机场
HAN,Noi Bai International Airport,內排國際機場
HAO,Butler County Regional/Hogan Field,none
HAQ,Hanimaadhoo International Airport,哈尼马杜国际机场
HAS,Hail Airport,none
HAT,Heathlands Airport,none
HAU,Haugesund Airport,none
HAV,Jose Marti International Airport,何塞·马蒂国际机场
HAW,Haverfordwest Airport,none
HAY,Aguachica Airport,none
HBA,Hobart International Airport,霍巴特機場
HBB,Industrial Airpark,none
HBE,Borg El Arab International Airport,none
HBG,Hattiesburg Bobby L Chain Municipal Airport,none
HBK,Holbrook Municipal Airport,none
HBQ,Haibei Qilian Airport,海北祁连机场
HBR,Hobart Regional Airport,none
HBT,King Khaled Military City Airport,none
HBU,Bulgan Sum Airport,科布多省布尔干机场
HBX,Hubli Airport,none
HCA,Big Spring/Mc Mahon-Wrinkle Airport,none
HCC,Columbia County Airport,none
HCM,Eil Airport,none
HCN,Hengchun Airport,恆春機場
HCQ,Halls Creek Airport,none
HCR,Holy Cross Airport,none
HCW,Cheraw Municipal/Lynch Bellinger Field,none
HCZ,Chenzhou Beihu Airport,郴州北湖机场
HDD,Hyderabad Airport,none
HDE,Brewster Field,none
HDF,Heringsdorf Airport,none
HDG,Handan Airport,邯郸机场
HDH,Kawaihapai Airfield,none
HDK,Kulhudhuffushi Airport,none
HDM,Hamadan Airport,none
HDN,Yampa Valley Airport,none
HDO,Hindon Airport,none
HDR,Havadarya Airport,none
HDS,Hoedspruit Air Force Base Airport,none
HDY,Hat Yai International Airport,合艾国际机场
HEA,Herat Airport,赫拉特国际机场
HED,Herendeen Bay Airport,none
HEE,Thompson-Robbins Airport,none
HEH,Heho Airport,黑河機場 (緬甸)
HEI,Heide-Busum Airport,none
HEK,Heihe Airport,黑河璦琿機場
HEL,Helsinki Vantaa Airport,赫尔辛基-万塔机场
HER,Heraklion International Nikos Kazantzakis Airport,伊拉克利翁尼科斯·卡赞察基斯国际机场
HES,Hermiston Municipal Airport,none
HET,Baita International Airport,呼和浩特白塔国际机场
HEW,Athen Helenikon Airport,none
HEZ,Hardy-Anders Field/Natchez-Adams County Airport,none
HFA,Haifa International Airport,海法機場
HFD,Hartford-Brainard Airport,none
HFE,Hefei Xinqiao International Airport,合肥新桥国际机场
HFF,Mackall Army Air Field,none
HFN,Hornafjörðu Airport,none
HFS,Hagfors Airport,none
HFT,Hammerfest Airport,none
HGA,Egal International Airport,埃加勒国际机场
HGD,Hughenden Airport,none
HGE,Higuerote Airport,none
HGH,Hangzhou Xiaoshan International Airport,杭州萧山国际机场
HGI,Donyi Polo Airport,none
HGL,Helgoland-Dune Airport,none
HGN,Mae Hong Son Airport,none
HGO,Korhogo Airport,none
HGR,Hagerstown Regional/Richard A Henson Field,none
HGS,Hastings Airport,none
HGU,Mount Hagen Kagamuga Airport,芒特哈根机场
HGZ,Hog River Airport,none
HHE,Hachinohe Airport,none
HHH,Hilton Head Airport,none
HHI,Wheeler Army Air Field,惠勒空軍基地
HHN,Frankfurt-Hahn Airport,哈恩机场
HHQ,Hua Hin Airport,none
HHR,Jack Northrop Field/Hawthorne Municipal Airport,none
HHZ,Hikueru Atoll Airport,none
HIA,Lianshui Airport,淮安涟水国际机场
HIB,Range Regional Airport,none
HID,Horn Island Airport,none
HIE,Mount Washington Regional Airport,none
HIF,Hill Afb Airport,none
HIG,Highbury Airport,none
HII,Lake Havasu City Airport,none
HIJ,Hiroshima Airport,广岛机场
HIM,Minneriya Airport,none
HIN,Sacheon Air Base,泗川機場
HIO,Portland-Hillsboro Airport,none
HIP,Headingly Airport,none
HIR,Honiara International Airport,霍尼亞拉國際機場
HJJ,Zhijiang Airport,怀化芷江机场
HJR,Khajuraho Airport,none
HJT,Khujirt Airport,呼吉尔特机场
HKA,Blytheville Municipal Airport,none
HKD,Hakodate Airport,函館機場
HKG,Chek Lap Kok International Airport,香港國際機場
HKK,Hokitika Airfield,none
HKN,Kimbe Airport,霍斯金斯機場
HKS,Hawkins Field,none
HKT,Phuket International Airport,布吉國際機場
HKY,Hickory Regional Airport,none
HLA,Lanseria Airport,none
HLB,Batesville Airport,none
HLC,Hill City Municipal Airport,none
HLD,Dongshan Airport,呼伦贝尔海拉尔国际机场
HLE,Saint Helena Airport,聖赫勒拿機場
HLF,Hultsfred Airport,none
HLG,Wheeling Ohio County Airport,none
HLH,Ulanhot Airport,乌兰浩特义勒力特机场
HLI,Hollister Municipal Airport,none
HLJ,Barysiai Airport,none
HLL,Hillside Airport,none
HLN,Helena Regional Airport,海伦娜区域机场
HLP,Halim Perdanakusuma International Airport,哈利姆·珀达纳库苏马国际机场
HLR,Yoakum-Defrenn Army Heliport,none
HLS,St Helens Airport,none
HLT,Hamilton Airport,none
HLU,Nesson Airport,none
HLW,Hluhluwe Airport,none
HLZ,Hamilton International Airport,漢米爾頓機場 (紐西蘭)
HMA,Khanty Mansiysk Airport,none
HMB,Sohag International Airport,none
HME,Oued Irara Airport,none
HMG,Hermannsburg Airport,none
HMI,Hami Airport,哈密伊州机场
HMJ,Khmelnytskyi Airport,赫梅利尼茨基機場
HMN,Holloman Afb Airport,霍洛曼空軍基地 (新墨西哥州)
HMO,General Ignacio P. Garcia International Airport,none
HMR,Stafsberg Airport,none
HMT,Hemet-Ryan Airport,none
HMV,Hemavan Airport,none
HMY,Seosan Air Base,瑞山机场
HNA,Hanamaki Airport,花卷機場
HNB,Huntingburg Airport,none
HNC,Billy Mitchell Airport,none
HND,Tokyo International Airport,東京國際機場
HNH,Hoonah Airport,none
HNI,Hechi Jinchengjiang Airport,none
HNL,Daniel K Inouye International Airport,珍珠港-希卡姆聯合基地
HNM,Hana Airport,none
HNS,Haines Airport,none
HNY,Hengyang Airport,衡阳南岳机场
HOA,Hola Airport,none
HOB,Lea County Regional Airport,none
HOD,Hodeidah International Airport,荷台達國際機場
HOF,Al Ahsa Airport,none
HOG,Frank Pais International Airport,none
HOH,Hohenems-Dornbirn Airport,none
HOI,Hao Airport,none
HOK,Hooker Creek Airport,none
HOM,Homer Airport,none
HON,Huron Regional Airport,none
HOP,Campbell Army Air Field (Fort Campbell) Airport,none
HOQ,Hof-Plauen Airport,none
HOR,Horta Airport,none
HOS,Chos Malal Airport,none
HOT,Memorial Field,none
HOU,William P Hobby Airport,威廉·佩特斯·霍比机场
HOV,Ørsta-Volda Airport Hovden,none
HOX,Hommalinn Airport,none
HPA,Lifuka Island Airport,none
HPB,Hooper Bay Airport,none
HPH,Cat Bi International Airport,吉碑國際機場
HPN,Westchester County Airport,none
HPT,Hampton Municipal Airport,none
HPV,Princeville Airport,none
HPY,Baytown Airport,none
HQL,Tashkurgan Khunjerab Airport,塔什库尔干红其拉甫机场
HQM,Bowerman Field,none
HRB,Taiping Airport,哈尔滨太平国际机场
HRE,Harare International Airport,罗伯特·穆加贝国际机场
HRF,Hoarafushi Airport,none
HRG,Hurghada International Airport,古尔代盖国际机场
HRI,Mattala Rajapaksa International Airport,馬特拉·拉賈帕克薩國際機場
HRK,Kharkiv International Airport,哈爾科夫國際機場
HRL,Valley International Airport,none
HRM,Hassi R'Mel Airport,none
HRO,Boone County Airport,none
HRS,Harrismith Airport,none
HRT,RAF Linton-On-Ouse,none
HRY,Henbury Airport,none
HRZ,Horizontina Airport,none
HSA,Turkistan International Airport,none
HSB,Harrisburg-Raleigh Airport,none
HSC,Shaoguan Guitou Airport,韶关丹霞机场
HSG,Saga Airport,佐賀機場
HSH,Henderson Executive Airport,none
HSI,Hastings Municipal Airport,none
HSK,Huesca/Pirineos Airport,none
HSL,Huslia Airport,none
HSM,Horsham Airport,none
HSN,Zhoushan Airport,舟山普陀山国际机场
HSP,Ingalls Field,none
HSR,Rajkot International Airport,none
HSS,Hissar Airport,none
HST,Homestead Arb Airport,none
HSV,Huntsville International-Carl T Jones Field,none
HSZ,Hsinchu Air Base,新竹機場
HTA,Chita-Kadala Airport,赤塔機場
HTG,Khatanga Airport,none
HTH,Hawthorne Industrial Airport,none
HTI,Hamilton Island Airport,none
HTL,Roscommon County/Blodgett Memorial Airport,none
HTN,Hotan Airport,和田昆冈机场
HTO,East Hampton Town Airport,none
HTR,Hateruma Airport,波照間機場
HTS,Tri-State/Milton J Ferguson Field,none
HTU,Hopetoun Airport,none
HTV,Huntsville Municipal Airport,none
HTW,Lawrence County Airpark,none
HTY,Hatay Airport,none
HTZ,Hato Corozal Airport,none
HUA,Redstone Army Air Field,none
HUB,Humbert River Airport,none
HUC,Dr Hermenegildo Ortiz Quinones Airport,none
HUD,Humboldt Municipal Airport,none
HUE,Humera Airport,none
HUF,Terre Haute Regional Airport,none
HUG,Huehuetenango Airport,none
HUH,Huahine-Fare Airport,none
HUI,Phu Bai Airport,富牌國際機場
HUJ,Stan Stamper Municipal Airport,none
HUL,Houlton International Airport,none
HUM,Houma-Terrebonne Airport,none
HUN,Hualien Airport,花蓮機場
HUO,Huolinguole Huolinhe Airport,霍林郭勒霍林河机场
HUQ,Hon Airport,none
HUS,Hughes Airport,none
HUT,Hutchinson Regional Airport,none
HUU,Alferez Fap David Figueroa Fernandini Airport,none
HUW,Humaita Airport,none
HUX,Bahias de Huatulco International Airport,none
HUY,Humberside Airport,none
HUZ,Huizhou Airport,惠州平潭机场
HVA,Analalava Airport,none
HVB,Hervey Bay Airport,none
HVD,Khovd Airport,科布多机场
HVE,Hanksville Airport,none
HVG,Valan Airport,none
HVK,Hólmavík Airport,none
HVN,Tweed/New Haven Airport,none
HVR,Havre City-County Airport,none
HVS,Hartsville Regional Airport,none
HWD,Hayward Executive Airport,none
HWK,Wilpena Pound Airport,none
HWN,Hwange National Park Airport,none
HWO,North Perry Airport,none
HWR,Halwara International Airport,none
HXD,Delingha Airport,海西德令哈机场
HXX,Hay Airport,none
HYA,Cape Cod Gateway Airport,none
HYC,Wycombe Air Park,none
HYD,Rajiv Gandhi International Airport Shamshabad,拉吉夫·甘地国际机场
HYL,Clark Bay Seaplane Base,none
HYN,Huangyan Luqiao Airport,台州路桥机场
HYR,Sawyer County Airport,none
HYS,Hays Regional Airport,none
HYV,Hyvinkaa Airport,none
HZA,Heze Mudan Airport,菏泽牡丹机场
HZB,Merville-Calonne Airport,none
HZG,Hanzhong Airport,汉中城固机场
HZH,Qiandongnan Liping Airport,黔东南黎平机场
HZK,Húsavík Airport,none
HZL,Hazleton Regional Airport,none
HZP,Fort Mackay / Horizon Airport,none
IAA,Igarka Airport,none
IAB,Mc Connell Afb Airport,none
IAD,Washington Dulles International Airport,华盛顿杜勒斯国际机场
IAG,Niagara Falls International Airport,none
IAH,George Bush Intcntl/Houston Airport,喬治·布殊洲際機場
IAM,In Amenas Airport,none
IAN,Bob Baker Memorial Airport,none
IAO,Siargao Airport,none
IAQ,Bastak Airport,none
IAR,Tunoshna Airport,图诺什纳机场
IAS,Iasi Airport,雅西國際機場
IBA,Ibadan Airport,none
IBB,General Villamil Airport,none
IBE,Perales Airport,none
IBP,Iberia Airport,none
IBR,Hyakuri Airport,茨城机场
IBZ,Ibiza Airport,伊维萨机场
ICA,Icabaru Airport,none
ICC,Andres Miguel Salazar Marcano Airport,none
ICI,Cicia Airport,none
ICK,Nieuw Nickerie Airport,none
ICL,Schenck Field,none
ICN,Incheon International Airport,仁川國際機場
ICR,Nicaro Airport,none
ICS,Cascade Airport,none
ICT,Wichita Dwight D Eisenhower Ntl Airport,none
ICY,Icy Bay Airport,none
IDA,Idaho Falls Regional Airport,none
IDB,Idre Airport,none
IDF,Idiofa Airport,none
IDG,Ida Grove Municipal Airport,none
IDH,Idaho County Airport,none
IDI,Indiana County/Jimmy Stewart Field,none
IDK,Indulkana Airport,none
IDO,Santa Izabel do Morro Airport,none
IDP,Independence Municipal Airport,none
IDR,Devi Ahilyabai Holkar Airport,none
IDY,Ile d'Yeu Airport,none
IEG,Zielona Góra-Babimost Airport,none
IEJ,Ie Jima Airport,伊江島機場
IES,Riesa-Gohlis Airport,none
IEV,Kyiv Zhuliany International Airport,基輔國際機場
IFA,Iowa Falls Municipal Airport,none
IFF,Iffley Airport,none
IFH,Hesa Airport,none
IFJ,Ísafjörður Airport,none
IFL,Innisfail Airport,none
IFN,Esfahan Shahid Beheshti International Airport,none
IFO,Ivano-Frankivsk International Airport,伊萬諾-弗蘭科夫斯克國際機場
IFP,Laughlin/Bullhead International Airport,none
IFU,Ifuru Airport,none
IGA,Inagua Airport,none
IGB,Cabo F.A.A. H. R. Bordon Airport,none
IGD,Igdir Airport,none
IGG,Igiugig Airport,none
IGH,Ingham Airport,none
IGL,Cigli Airport,none
IGM,Kingman Airport,none
IGN,Iligan Airport,none
IGO,Chigorodo Airport,none
IGR,Cataratas Del Iguazu International Airport,none
IGS,Ingolstadt Manching Airport,none
IGT,Magas Airport,none
IGU,Cataratas International Airport,none
IHA,Niijima Airport,none
IHC,Inhaca Airport,none
IHO,Ihosy Airport,none
IHR,Iran Shahr Airport,none
IIA,Inishmaan Aerodrome,none
IIL,Ilam Airport,none
IJK,Izhevsk Airport,none
IJU,Ijui Airport,none
IJX,Jacksonville Municipal Airport,none
IKA,Imam Khomeini International Airport,伊玛目霍梅尼国际机场
IKB,Wilkes County Airport,none
IKG,Karakol Airport,none
IKI,Iki Airport,壹岐機場
IKK,Greater Kankakee Airport,none
IKL,Ikela Airport,none
IKO,Nikolski Air Station,none
IKP,Inkerman Airport,none
IKS,Tiksi Airport,none
IKT,Irkutsk Airport,伊爾庫茨克國際機場
IKU,Issyk-Kul International Airport,none
ILA,Illaga Airport,none
ILD,Lleida-Alguaire Airport,莱里达-阿尔瓜伊雷机场
