airport_code,airport_name,airport_name_zh
AIN,Wainwright Airport,none
AIO,Atlantic Municipal Airport,none
AIP,Adampur Air Force Station,none
AIR,Aripuanã Airport,none
AIS,Arorae Island Airport,阿羅賴島機場
AIT,Aitutaki Airport,none
AIU,Enua Airport,none
AIV,George Downer Airport,none
AIZ,Lee C Fine Memorial Airport,none
AJA,Ajaccio-Napoleon Bonaparte Airport,阿雅克肖拿破仑·波拿巴机场
AJF,Al-Jawf Domestic Airport,none
AJI,Agri Airport,none
AJJ,Akjoujt Airport,阿克茹特机场
AJK,Arak Airport,none
AJL,Lengpui Airport,none
AJN,Ouani Airport,昂儒昂機場
AJR,Arvidsjaur Airport,阿尔维斯尧尔机场
AJU,Santa Maria Airport,none
AJY,Mano Dayak International Airport,none
AKA,Ankang Airport,安康富強機場
AKB,Atka Airport,none
AKC,Akron Fulton International Airport,none
AKD,Akola Airport,none
AKE,Akiéni Airport,none
AKF,Kufra Airport,none
AKH,Prince Sultan Air Base,苏丹王子空军基地
AKI,Akiak Airport,none
AKJ,Asahikawa Airport,旭川機場
AKK,Akhiok Airport,none
AKL,Auckland International Airport,奧克蘭機場
AKN,King Salmon Airport,鮭魚王機場
AKO,Colorado Plains Regional Airport,none
AKP,Anaktuvuk Pass Airport,none
AKQ,Menggala Airport,none
AKS,Auki Airport,奧基機場
AKT,RAF Akrotiri,阿克罗蒂里空军基地
AKU,Aksu Airport,阿克苏红旗坡机场
AKV,Akulivik Airport,none
AKW,Aghajari Airport,none
AKX,Aktobe Aliya Moldagulova International Airport,none
AKY,Sittwe Airport,none
ALA,Almaty International Airport,阿拉木图国际机场
ALB,Albany International Airport,none
ALC,Alicante International Airport,阿利坎特-埃爾切機場
ALD,Alerta Airport,none
ALE,Alpine-Casparis Municipal Airport,none
ALF,Alta Airport,none
ALG,Houari Boumediene Airport,阿尔及尔胡阿里·布迈丁机场
ALH,Albany Airport,none
ALI,Alice International Airport,none
ALJ,Alexander Bay Airport,none
ALL,Villanova D'Albenga International Airport,none
ALM,Alamogordo-White Sands Regional Airport,none
ALN,St Louis Regional Airport,none
ALO,Waterloo Regional Airport,none
ALP,Aleppo International Airport,阿勒颇国际机场
ALQ,Alegrete Novo Airport,none
ALR,Alexandra Airport,none
ALS,San Luis Valley Regional/Bergman Field,none
ALT,Alenquer Airport,none
ALU,Alula Airport,none
ALW,Walla Walla Regional Airport,none
ALX,Thomas C Russell Field,none
AMA,Rick Husband Amarillo International Airport,none
AMB,Ambilobe Airport,none
AMC,Am Timan Airport,none
AMD,Sardar Vallabhbhai Patel International Airport,萨达尔·瓦拉巴伊·帕特尔国际机场
AMH,Arba Minch Airport,none
AMJ,Cirilo Queiroz Airport,none
AMK,Animas Air Park,none
AMM,Queen Alia International Airport,阿勒娅王后国际机场
AMN,Gratiot Community Airport,none
AMO,Mao Airport,none
AMP,Ampanihy Airport,none
AMQ,Pattimura Airport Ambon,巴蒂穆拉国际机场
AMS,Amsterdam Airport Schiphol,阿姆斯特丹史基浦機場
AMT,Amata Airport,none
AMU,Amanab Airport,none
AMV,Amderma Airport,none
AMW,Ames Municipal Airport,none
AMX,Ammaroo Airport,none
AMZ,Ardmore Airport,none
ANB,Anniston Regional Airport,none
ANC,Ted Stevens Anchorage International Airport,泰德·史蒂文斯安克雷奇國際機場
ANE,Angers-Loire Airport,none
ANF,Cerro Moreno Airport,none
ANG,Angouleme-Brie-Champniers Airport,昂古莱姆-干邑国际机场
ANI,Aniak Airport,none
ANJ,Zanaga Airport,none
ANK,Etimesgut Air Base,none
ANM,Antsirabato Airport,none
ANN,Annette Island Airport,none
ANO,Angoche Airport,none
ANP,Lee Airport,none
ANQ,Tri-State Steuben County Airport,none
ANR,Antwerp International Airport (Deurne),安特衛普國際機場
ANS,Andahuaylas Airport,none
ANU,V.C. Bird International Airport,維爾伯德國際機場
ANV,Anvik Airport,none
ANW,Ainsworth Regional Airport,none
ANX,Andøya Airport,none
ANY,Anthony Municipal Airport,none
AOC,Altenburg-Nobitz Airport,none
AOE,Anadolu University Airport,none
AOG,Anshan Air Base,鞍山腾鳌机场
AOH,Lima Allen County Airport,none
AOI,Ancona / Falconara Airport,馬爾凱機場
AOJ,Aomori Airport,青森機場
AOK,Karpathos Airport,none
AOL,Paso De Los Libres Airport,none
AOM,Adam Airport,none
AOO,Altoona/Blair County Airport,none
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,none
AOR,Sultan Abdul Halim Airport,苏丹阿都哈林机场
